time,q0,q1,q2,q3,q4,q5,q6,qd0,qd1,qd2,qd3,qd4,qd5,qd6,qdd0,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6,tau0,tau1,tau2,tau3,tau4,tau5,tau6
0.000000,-1.399418,0.134390,-0.000417,-0.040944,-1.724313,-0.009894,-0.000108,0.002526,-0.000812,0.002255,0.000185,-0.000053,-0.000060,-0.000661,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-10.072306,1.566729,0.022701,4.097738,-0.006926,0.495092,0.003758
0.010000,-1.399418,0.134390,-0.000417,-0.040944,-1.724313,-0.009894,-0.000108,0.002445,-0.000866,0.001762,0.000082,-0.000052,-0.000103,-0.000782,-0.008948,-0.004772,-0.054168,-0.010901,-0.000240,-0.003953,-0.011243,-10.071730,1.566438,0.022307,4.097727,-0.006936,0.495085,0.004161
0.020000,-1.399398,0.134385,-0.000417,-0.040945,-1.724313,-0.009894,-0.000108,0.002347,-0.000907,0.001172,-0.000033,-0.000058,-0.000140,-0.000886,-0.010624,-0.003147,-0.055972,-0.010667,-0.001446,-0.003129,-0.010194,-10.070810,1.566014,0.021883,4.097718,-0.006945,0.495070,0.004665
0.030000,-1.399391,0.134383,-0.000417,-0.040945,-1.724313,-0.009894,-0.000108,0.002233,-0.000929,0.000643,-0.000132,-0.000081,-0.000165,-0.000986,-0.012131,-0.000733,-0.041629,-0.007674,-0.003705,-0.001800,-0.010273,-10.070329,1.565791,0.021635,4.098039,-0.006961,0.495071,0.005126
0.040000,-1.399381,0.134380,-0.000417,-0.040945,-1.724313,-0.009894,-0.000108,0.002105,-0.000922,0.000339,-0.000187,-0.000132,-0.000176,-0.001092,-0.013162,0.002348,-0.010739,-0.001859,-0.006867,-0.000011,-0.011352,-10.071085,1.566102,0.021770,4.099003,-0.006990,0.495110,0.005390
0.050000,-1.399357,0.134374,-0.000410,-0.040944,-1.724314,-0.009894,-0.000110,0.001969,-0.000882,0.000428,-0.000169,-0.000218,-0.000166,-0.001213,-0.013500,0.005880,0.036717,0.006721,-0.010734,0.002142,-0.013506,-10.073863,1.567276,0.022483,4.100896,-0.007039,0.495209,0.005296
0.060000,-1.399352,0.134372,-0.000408,-0.040944,-1.724315,-0.009894,-0.000111,0.001835,-0.000804,0.001074,-0.000052,-0.000346,-0.000133,-0.001362,-0.013075,0.009555,0.100428,0.017882,-0.015082,0.004510,-0.017085,-10.079423,1.569633,0.023951,4.103971,-0.007114,0.495388,0.004689
0.070000,-1.399341,0.134369,-0.000399,-0.040942,-1.724316,-0.009894,-0.000114,0.001708,-0.000691,0.002437,0.000189,-0.000520,-0.000075,-0.001555,-0.012026,0.012991,0.179770,0.031308,-0.019688,0.006896,-0.022759,-10.088480,1.573482,0.026330,4.108450,-0.007218,0.495670,0.003417
0.080000,-1.399322,0.134363,-0.000351,-0.040936,-1.724320,-0.009895,-0.000127,0.001594,-0.000545,0.004669,0.000574,-0.000740,0.000005,-0.001817,-0.010741,0.015763,0.273800,0.046552,-0.024343,0.009066,-0.031523,-10.101702,1.579129,0.029749,4.114523,-0.007354,0.496074,0.001350
0.090000,-1.399320,0.134363,-0.000343,-0.040935,-1.724320,-0.009895,-0.000129,0.001493,-0.000375,0.007913,0.001120,-0.001007,0.000106,-0.002185,-0.009900,0.017436,0.381236,0.063050,-0.028875,0.010769,-0.044658,-10.119693,1.586878,0.034308,4.122357,-0.007525,0.496625,-0.001621
0.100000,-1.399308,0.134359,-0.000267,-0.040924,-1.724327,-0.009895,-0.000149,0.001396,-0.000196,0.012294,0.001835,-0.001318,0.000221,-0.002710,-0.010480,0.017623,0.500419,0.080129,-0.033164,0.011756,-0.063642,-10.143000,1.597038,0.040078,4.132104,-0.007732,0.497348,-0.005572
0.110000,-1.399297,0.134354,-0.000090,-0.040902,-1.724343,-0.009895,-0.000192,0.001283,-0.000023,0.017921,0.002722,-0.001670,0.000341,-0.003458,-0.013748,0.016038,0.629275,0.097041,-0.037141,0.011811,-0.090023,-10.172099,1.609925,0.047101,4.143916,-0.007973,0.498271,-0.010539
0.120000,-1.399297,0.134354,-0.000090,-0.040902,-1.724343,-0.009895,-0.000192,0.001121,0.000125,0.024879,0.003776,-0.002061,0.000457,-0.004511,-0.021222,0.012556,0.765296,0.112994,-0.040792,0.010778,-0.125254,-10.207393,1.625866,0.055394,4.157955,-0.008248,0.499428,-0.016516
0.130000,-1.399292,0.134350,0.000138,-0.040871,-1.724362,-0.009895,-0.000248,0.000859,0.000228,0.033227,0.004982,-0.002486,0.000557,-0.005963,-0.034610,0.007273,0.905550,0.127202,-0.044145,0.008590,-0.170513,-10.249207,1.645203,0.064946,4.174403,-0.008554,0.500856,-0.023443
0.140000,-1.399294,0.134347,0.000481,-0.040825,-1.724387,-0.009893,-0.000330,0.000429,0.000270,0.042990,0.006320,-0.002943,0.000629,-0.007921,-0.055718,0.000556,1.046742,0.138936,-0.047252,0.005288,-0.226515,-10.297781,1.668282,0.075728,4.193476,-0.008889,0.502592,-0.031210
