time,q0,q1,q2,q3,q4,q5,q6,qd0,qd1,qd2,qd3,qd4,qd5,qd6,qdd0,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6,tau0,tau1,tau2,tau3,tau4,tau5,tau6
0.000000,-1.399418,0.134390,-0.000417,-0.040944,-1.724313,-0.009894,-0.000108,-0.004437,-0.121271,0.062692,-0.059975,-0.049141,-0.025477,-0.026205,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-11.424364,2.283965,0.087471,4.784133,-0.020106,0.593552,0.012750
0.010000,-1.399418,0.134390,-0.000417,-0.040944,-1.724313,-0.009894,-0.000108,-0.016972,-0.115481,0.077327,-0.054916,-0.049393,-0.023619,-0.031970,-1.276311,0.600569,1.487528,0.520893,-0.021153,0.190850,-0.585788,-11.474854,2.325373,0.093777,4.806003,-0.020456,0.597621,0.011927
0.020000,-1.399398,0.134385,-0.000417,-0.040945,-1.724313,-0.009894,-0.000108,-0.029964,-0.109259,0.092442,-0.049558,-0.049564,-0.021660,-0.037921,-1.321892,0.644159,1.535461,0.550943,-0.012924,0.201091,-0.604531,-11.525204,2.367257,0.100222,4.827716,-0.020796,0.601699,0.011072
0.030000,-1.399391,0.134383,-0.000417,-0.040945,-1.724313,-0.009894,-0.000108,-0.043410,-0.102598,0.108036,-0.043897,-0.049651,-0.019597,-0.044060,-1.367405,0.688535,1.583345,0.581412,-0.004362,0.211405,-0.623237,-11.575356,2.409584,0.106805,4.849246,-0.021128,0.605784,0.010186
0.040000,-1.399381,0.134380,-0.000417,-0.040945,-1.724313,-0.009894,-0.000108,-0.057312,-0.095488,0.124109,-0.037929,-0.049651,-0.017431,-0.050386,-1.412800,0.733671,1.631132,0.612280,0.004532,0.221782,-0.641888,-11.625252,2.452323,0.113525,4.870566,-0.021448,0.609869,0.009269
0.050000,-1.399357,0.134374,-0.000410,-0.040944,-1.724314,-0.009894,-0.000110,-0.071666,-0.087924,0.140659,-0.031651,-0.049561,-0.015162,-0.056898,-1.458025,0.779541,1.678776,0.643527,0.013759,0.232211,-0.660462,-11.674831,2.495439,0.120378,4.891648,-0.021758,0.613952,0.008320
0.060000,-1.399352,0.134372,-0.000408,-0.040944,-1.724315,-0.009894,-0.000111,-0.086472,-0.079898,0.157685,-0.025059,-0.049376,-0.012787,-0.063595,-1.503026,0.826119,1.726227,0.675132,0.023318,0.242681,-0.678940,-11.724032,2.538898,0.127362,4.912467,-0.022056,0.618028,0.007339
0.070000,-1.399341,0.134369,-0.000399,-0.040942,-1.724316,-0.009894,-0.000114,-0.101727,-0.071402,0.175184,-0.018149,-0.049094,-0.010308,-0.070477,-1.547750,0.873374,1.773436,0.707071,0.033210,0.253181,-0.697303,-11.772795,2.582664,0.134475,4.932994,-0.022342,0.622093,0.006326
0.080000,-1.399322,0.134363,-0.000351,-0.040936,-1.724320,-0.009895,-0.000127,-0.117427,-0.062430,0.193153,-0.010917,-0.048712,-0.007724,-0.077541,-1.592142,0.921278,1.820353,0.739323,0.043433,0.263698,-0.715529,-11.821056,2.626700,0.141713,4.953202,-0.022614,0.626141,0.005281
0.090000,-1.399320,0.134363,-0.000343,-0.040935,-1.724320,-0.009895,-0.000129,-0.133570,-0.052976,0.211591,-0.003362,-0.048226,-0.005034,-0.084787,-1.636148,0.969798,1.866927,0.771863,0.053985,0.274221,-0.733599,-11.868753,2.670969,0.149074,4.973063,-0.022873,0.630169,0.004203
0.100000,-1.399308,0.134359,-0.000267,-0.040924,-1.724327,-0.009895,-0.000149,-0.150150,-0.043034,0.230492,0.004520,-0.047632,-0.002239,-0.092213,-1.679711,1.018901,1.913109,0.804667,0.064866,0.284738,-0.751491,-11.915821,2.715430,0.156555,4.992550,-0.023116,0.634171,0.003093
0.110000,-1.399297,0.134354,-0.000090,-0.040902,-1.724343,-0.009895,-0.000192,-0.167164,-0.032598,0.249853,0.012731,-0.046928,0.000661,-0.099817,-1.722775,1.068555,1.958846,0.837710,0.076074,0.295235,-0.769185,-11.962198,2.760044,0.164152,5.011635,-0.023345,0.638143,0.001950
0.120000,-1.399297,0.134354,-0.000090,-0.040902,-1.724343,-0.009895,-0.000192,-0.184606,-0.021663,0.269669,0.021274,-0.046111,0.003666,-0.107597,-1.765282,1.118722,2.004086,0.870965,0.087604,0.305700,-0.786659,-12.007817,2.804770,0.171861,5.030289,-0.023557,0.642080,0.000774
0.130000,-1.399292,0.134350,0.000138,-0.040871,-1.724362,-0.009895,-0.000248,-0.202470,-0.010224,0.289935,0.030150,-0.045176,0.006775,-0.115550,-1.807176,1.169367,2.048777,0.904407,0.099456,0.316120,-0.803892,-12.052613,2.849566,0.179680,5.048485,-0.023752,0.645978,-0.000434
0.140000,-1.399294,0.134347,0.000481,-0.040825,-1.724387,-0.009893,-0.000330,-0.220749,0.001724,0.310644,0.039362,-0.044122,0.009988,-0.123675,-1.848398,1.220451,2.092867,0.938008,0.111626,0.326481,-0.820863,-12.096522,2.894389,0.187603,5.066196,-0.023929,0.649831,-0.001675
0.150000,-1.399294,0.134347,0.000481,-0.040825,-1.724387,-0.009893,-0.000330,-0.239437,0.014185,0.331792,0.048911,-0.042944,0.013304,-0.131968,-1.888890,1.271936,2.136304,0.971739,0.124110,0.336769,-0.837551,-12.139476,2.939194,0.195628,5.083392,-0.024088,0.653634,-0.002948
0.160000,-1.399307,0.134345,0.001003,-0.040752,-1.724421,-0.009889,-0.000457,-0.258527,0.027163,0.353370,0.058797,-0.041639,0.016723,-0.140426,-1.928594,1.323780,2.179033,1.005572,0.136903,0.346971,-0.853933,-12.181410,2.983938,0.203749,5.100048,-0.024228,0.657383,-0.004254
0.170000,-1.399328,0.134345,0.001546,-0.040676,-1.724454,-0.009884,-0.000588,-0.278009,0.040661,0.375373,0.069022,-0.040206,0.020244,-0.149046,-1.967450,1.375944,2.221004,1.039479,0.150002,0.357072,-0.869989,-12.222257,3.028574,0.211962,5.116134,-0.024348,0.661072,-0.005593
0.180000,-1.399328,0.134345,0.001546,-0.040676,-1.724454,-0.009884,-0.000588,-0.297876,0.054682,0.397790,0.079587,-0.038639,0.023865,-0.157826,-2.005400,1.428383,2.262162,1.073428,0.163401,0.367058,-0.885698,-12.261952,3.073057,0.220263,5.131624,-0.024447,0.664696,-0.006963
0.190000,-1.399385,0.134346,0.002498,-0.040542,-1.724509,-0.009875,-0.000823,-0.318117,0.069228,0.420616,0.090491,-0.036938,0.027585,-0.166760,-2.042384,1.481055,2.302455,1.107390,0.177096,0.376915,-0.901036,-12.300428,3.117339,0.228647,5.146491,-0.024525,0.668251,-0.008366
0.200000,-1.399451,0.134348,0.003218,-0.040454,-1.724547,-0.009870,-0.001000,-0.338724,0.084303,0.443840,0.101734,-0.035097,0.031403,-0.175846,-2.078344,1.533914,2.341830,1.141333,0.191080,0.386626,-0.915984,-12.337619,3.161372,0.237108,5.160708,-0.024581,0.671731,-0.009800
0.210000,-1.399451,0.134348,0.003218,-0.040454,-1.724547,-0.009870,-0.001000,-0.359684,0.099907,0.467452,0.113317,-0.033116,0.035318,-0.185080,-2.113221,1.586914,2.380234,1.175227,0.205347,0.396179,-0.930520,-12.373460,3.205109,0.245642,5.174248,-0.024614,0.675132,-0.011265
0.220000,-1.399640,0.134355,0.004684,-0.040294,-1.724618,-0.009866,-0.001435,-0.380988,0.116041,0.491444,0.125239,-0.030990,0.039327,-0.194457,-2.146957,1.640010,2.417616,1.209039,0.219890,0.405556,-0.944623,-12.407884,3.248500,0.254244,5.187086,-0.024623,0.678447,-0.012762
0.230000,-1.399784,0.134360,0.005567,-0.040207,-1.724656,-0.009866,-0.001717,-0.402623,0.132707,0.515805,0.137498,-0.028718,0.043429,-0.203972,-2.179492,1.693152,2.453924,1.242737,0.234703,0.414744,-0.958272,-12.440826,3.291496,0.262907,5.199195,-0.024608,0.681673,-0.014289
0.240000,-1.399852,0.134362,0.005941,-0.040170,-1.724671,-0.009866,-0.001839,-0.424578,0.149904,0.540523,0.150094,-0.026296,0.047622,-0.213622,-2.210769,1.746293,2.489105,1.276288,0.249778,0.423727,-0.971445,-12.472223,3.334047,0.271626,5.210551,-0.024569,0.684803,-0.015846
0.250000,-1.400244,0.134386,0.007870,-0.039988,-1.724748,-0.009870,-0.002610,-0.446839,0.167633,0.565587,0.163024,-0.023723,0.051903,-0.223401,-2.240731,1.799383,2.523108,1.309659,0.265107,0.432489,-0.984123,-12.502009,3.376102,0.280396,5.221128,-0.024503,0.687833,-0.017433
0.260000,-1.400472,0.134401,0.008838,-0.039898,-1.724783,-0.009871,-0.002972,-0.469392,0.185892,0.590985,0.176287,-0.020994,0.056271,-0.233305,-2.269320,1.852372,2.555884,1.342817,0.280681,0.441015,-0.996285,-12.530123,3.417610,0.289209,5.230904,-0.024412,0.690758,-0.019049
0.270000,-1.400734,0.134422,0.009851,-0.039801,-1.724817,-0.009873,-0.003370,-0.492225,0.204680,0.616704,0.189880,-0.018109,0.060723,-0.243327,-2.296480,1.905208,2.587383,1.375728,0.296492,0.449289,-1.007910,-12.556500,3.458521,0.298061,5.239853,-0.024293,0.693573,-0.020693
