time,q0,q1,q2,q3,q4,q5,q6,qd0,qd1,qd2,qd3,qd4,qd5,qd6,qdd0,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6,tau0,tau1,tau2,tau3,tau4,tau5,tau6
0,-1.5,0.15,-2.16840434497101e-18,1.73472347597681e-18,-1.725,0,-2.60208521396521e-18,-1.73472347597681e-18,0,0,0,1.73472347597681e-18,-6.93889390390723e-18,0,-1.66533453693773e-16,-1.38777878078145e-17,1.38777878078145e-17,2.77555756156289e-17,1.11022302462516e-16,-2.77555756156289e-17,-1.38777878078145e-17,0,0,0,0,0,0,0
0.01,-1.4999999938838,0.150000078909888,1.68474121107869e-08,1.69902237921044e-08,-1.72500000142591,-4.1162957245891e-08,-8.39850206029585e-08,2.03863791033067e-06,2.36871709810292e-05,5.0627513271047e-06,5.1428223724107e-06,-1.95995487604385e-07,-1.23109571119665e-05,-2.5172113467768e-05,0.000489235878244509,0.00474304371437052,0.00101595546675018,0.00104684472454006,5.34996297179013e-05,-0.00244696684668189,-0.00502498153024307,0,0,0,0,0,0,0
0.02,-1.49999993476996,0.150000632386497,1.35459140858428e-07,1.39573327827616e-07,-1.72499999287074,-3.26248354732758e-07,-6.69975188208848e-07,1.14143123598077e-05,9.49658116282312e-05,2.03866162701519e-05,2.13002504317185e-05,2.92240999317205e-06,-4.86296453329252e-05,-0.000100302431841109,0.00146733369167479,0.00951756713657073,0.00205216238384198,0.00220269193055972,0.000662705296322064,-0.00480102991307568,-0.0099908056211157,0,0,0,0,0,0,0
0.03,-1.49999972485444,0.150002137845647,4.59452782153747e-07,4.83322036518019e-07,-1.72499991342506,-1.09063715006755e-06,-2.25451142295968e-06,3.3012609180063e-05,0.000214128842402324,4.61722676165042e-05,4.95552185554313e-05,1.49060715274214e-05,-0.000108011724351683,-0.000224774431822691,0.00293360424467204,0.0143191878051539,0.00310824925289606,0.00346610216206156,0.00182628016235176,-0.00705914748915255,-0.0148924938416135,0,0,0,0,0,0,0
0.04,-1.49999921752005,0.150005075412543,1.09443376915329e-06,1.17456431546203e-06,-1.72499964674729,-2.56011670582423e-06,-5.32772164541125e-06,7.17097483359207e-05,0.000381425151723959,8.26165684408312e-05,9.09756283061459e-05,4.12896054623295e-05,-0.000189483006262259,-0.000397922154266673,0.00488686365895746,0.0191434824461656,0.00418382562278794,0.00483550859650156,0.00354231364196733,-0.00921839233771471,-0.0197251382477021,0,0,0,0,0,0,0
0.05,-1.49999821745482,0.15000992747948,2.14795632687617e-06,2.35022670378067e-06,-1.72499902125479,-4.95058809389659e-06,-1.0372830021514e-05,0.000132367640872606,0.000597059208094758,0.000129912382390118,0.000146613083514381,8.7585662575218e-05,-0.000292040617246024,-0.000619030932769584,0.00732543420732701,0.0239859910289996,0.00527848205430156,0.0063092188158945,0.00580832362357719,-0.0112759550652239,-0.0244839061145228,0,0,0,0,0,0,0
0.06,-1.4999964808198,0.150017178259875,3.72948252805208e-06,4.15766508835534e-06,-1.72499781037198,-8.46778518319435e-06,-1.7865673728989e-05,0.000219828956568486,0.000861190712968278,0.000188248383680286,0.000217501643712181,0.000159279226231324,-0.000414654192358001,-0.000887338169214766,0.0102471456209066,0.0288422208598067,0.00639179009780537,0.00788541670549411,0.00862125924469903,-0.0132291473712095,-0.0291640445941566,0,0,0,0,0,0,0
0.07,-1.49999371546602,0.150027313339034,5.95033944811849e-06,6.75448310894292e-06,-1.72499573283544,-1.3307005835737e-05,-2.82742277106429e-05,0.000338912207023971,0.00117393429472661,0.000257808866935536,0.000304656597182913,0.000261821941039304,-0.000556267102185471,-0.00120203415550352,0.0136493368688866,0.0337076507085913,0.00752330228421409,0.00956216447804703,0.0119775042161437,-0.0150754051727541,-0.0337608852944172,0,0,0,0,0,0,0
0.08,-1.49998958120059,0.150040819222058,8.92367441834927e-06,1.03083383976403e-05,-1.72499245305547,-1.96528555232237e-05,-4.20581378726649e-05,0.000494406848903776,0.00153535924408022,0.000338773557005048,0.000409073254872787,0.000400626477481264,-0.000715797710112738,-0.0015622629406605,0.0175288584092304,0.0385777349661021,0.00867255212949196,0.0113374048214956,0.0158728806920877,-0.0168122916006765,-0.0382698487742152,0,0,0,0,0,0,0
0.09,-1.49998369010166,0.150058182879324,1.27644083775821e-05,1.4996736866368e-05,-1.7249875815339,-2.76790036640873e-05,-5.9668263177215e-05,0.000691068412033612,0.00194548929116902,0.000431317418893292,0.000531725766387289,0.000581060937956596,-0.000892140658892584,-0.00196712324245756,0.0218820749084074,0.0434479078265905,0.00983905415294462,0.0132089631678829,0.0203026536820752,-0.018437499864163,-0.0426864489511227,0,0,0,0,0,0,0
0.1,-1.4999756068819,0.150079891289934,1.75891873244352e-05,2.10068152701019e-05,-1.72498067533749,-3.75479529670306e-05,-8.15462270701709e-05,0.000933613657029111,0.00240430242460459,0.000535610467943247,0.000673565959272928,0.000808443309636989,-0.00108416818519322,-0.00241566940265621,0.0267048684277442,0.0483135874924915,0.0110223039095385,0.0151745500810954,0.0252615360004569,-0.0199488559807263,-0.0470062974168474,0,0,0,0,0,0,0
0.11,-1.49996484930026,0.150106430983574,2.35163318731915e-05,2.85351122840741e-05,-1.72497123862663,-4.94108220545422e-05,-0.000108123978675396,0.00122671576710989,0.00291173075265152,0.000651817580413928,0.00083552220276021,0.00108803596948234,-0.00129073146075901,-0.00290691238492685,0.0319926420735373,0.0531701803970575,0.0122217780364781,0.0172317637609616,0.0307436937482681,-0.0213443213685096,-0.0512251076564195,0,0,0,0,0,0,0
0.12,-1.49995088862165,0.150138287581189,3.06657849180041e-05,3.77873283455739e-05,-1.72495872323867,-6.34071416250083e-05,-0.000139823364177697,0.00157499957871986,0.00346766040670873,0.000780098304595931,0.00101849829711868,0.00142504024671504,-0.00151066195879402,-0.00343982081446132,0.0377403241076284,0.0580130854409617,0.0134369343142623,0.0193780926611097,0.036742752322027,-0.0226219952980885,-0.0553386991669863,0,0,0,0,0,0,0
0.13,-1.49993315012405,0.150175945334913,3.91590574116212e-05,4.89780745220551e-05,-1.72494252932531,-7.96646643990689e-05,-0.000177055708805817,0.00198303685554021,0.00407193148721007,0.000920606672610686,0.0012233723897481,0.00182459104799181,-0.00174277284414972,-0.00401332205825474,0.0439423725146911,0.0628376982388733,0.0146672117424294,0.0216109182178791,0.0432518029434284,-0.0237801172010649,-0.0593430014722074,0,0,0,0,0,0,0
0.14,-1.49991101365268,0.150219886667661,4.91191722660597e-05,6.23306106784585e-05,-1.72492200604348,-9.82991890808478e-05,-0.000220221409817525,0.00245534161044159,0.00472433805202343,0.00107349101304167,0.00145099591910231,0.00229175155044987,-0.00198586038587189,-0.00462630334499292,0.0505927800220498,0.0676394153719985,0.015912030630195,0.0239275176874677,0.0502634097034057,-0.0248170688328933,-0.0632340580283459,0,0,0,0,0,0,0
0.15,-1.49988381422069,0.150270591712826,6.06706063844093e-05,7.80765732272988e-05,-1.7248964522988,-0.000119414398550179,-0.000269709540876768,0.00299636547987797,0.00542462814738885,0.00123889376454701,0.00170219258751355,0.00283150796773675,-0.00223870539063683,-0.00527761292344323,0.0576850795674002,0.0724136386425777,0.0171707927021709,0.026325067088394,0.0577696171135402,-0.0257313762875221,-0.0670080300182567,0,0,0,0,0,0,0
