time,q0,q1,q2,q3,q4,q5,q6,qd0,qd1,qd2,qd3,qd4,qd5,qd6,qdd0,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6,tau0,tau1,tau2,tau3,tau4,tau5,tau6
0.000000000000000e+00,-1.500000000000000e+00,3.500000000000000e-01,3.296000000000000e-17,-2.081700000000000e-16,-1.725000000000000e+00,-2.775600000000000e-17,6.505200000000000e-18,-1.110200000000000e-16,5.551100000000000e-17,-1.110200000000000e-16,-2.775600000000000e-17,3.122500000000000e-17,-6.938899999999999e-18,0.000000000000000e+00,-1.110200000000000e-15,8.881800000000000e-16,1.262900000000000e-15,3.330700000000000e-16,-3.330700000000000e-16,1.110200000000000e-16,-5.100100000000000e-16,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,-1.500000000000000e+00,3.500000000000000e-01,1.084000000000000e-06,3.891600000000000e-07,-1.725000000000000e+00,6.341400000000000e-08,-4.296100000000000e-07,-2.890000000000000e-04,1.180900000000000e-04,3.252000000000000e-04,1.169000000000000e-04,-4.262400000000000e-05,1.910300000000000e-05,-1.288800000000000e-04,-5.774800000000000e-02,2.377100000000000e-02,6.504400000000000e-02,2.344200000000000e-02,-8.415400000000000e-03,3.851900000000000e-03,-2.577300000000000e-02,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
2.000000000000000e-02,-1.500000000000000e+00,3.500000000000000e-01,8.672300000000000e-06,3.125600000000000e-06,-1.725000000000000e+00,5.135600000000000e-07,-3.436300000000000e-06,-1.153800000000000e-03,4.784300000000000e-04,1.300800000000000e-03,4.700500000000000e-04,-1.661100000000000e-04,7.765600000000000e-05,-5.153700000000000e-04,-1.151600000000000e-01,4.844500000000000e-02,1.300800000000000e-01,4.724400000000000e-02,-1.617200000000000e-02,7.889400000000000e-03,-5.151900000000000e-02,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
3.000000000000000e-02,-1.500000000000000e+00,3.500100000000000e-01,2.926700000000000e-05,1.058900000000000e-05,-1.725000000000000e+00,1.754200000000000e-06,-1.159400000000000e-05,-2.590800000000000e-03,1.089900000000000e-03,2.926500000000000e-03,1.062900000000000e-03,-3.638500000000000e-04,1.774900000000000e-04,-1.159100000000000e-03,-1.721600000000000e-01,7.399600000000001e-02,1.950300000000000e-01,7.138300000000000e-02,-2.326500000000000e-02,1.210700000000000e-02,-7.720900000000000e-02,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
4.000000000000000e-02,-1.500100000000000e+00,3.500300000000000e-01,6.936400000000000e-05,2.519400000000000e-05,-1.725000000000000e+00,4.206900000000000e-06,-2.747300000000000e-05,-4.595600000000000e-03,1.961200000000000e-03,5.200900000000000e-03,1.898800000000000e-03,-6.291800000000000e-04,3.203900000000000e-04,-2.059300000000000e-03,-2.287100000000000e-01,1.003900000000000e-01,2.598400000000000e-01,9.583700000000001e-02,-2.968900000000000e-02,1.650100000000000e-02,-1.028200000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
5.000000000000000e-02,-1.500100000000000e+00,3.500500000000000e-01,1.354400000000000e-04,4.938400000000000e-05,-1.725000000000000e+00,8.311199999999999e-06,-5.363200000000000e-05,-7.163300000000000e-03,3.100500000000000e-03,8.122500000000000e-03,2.980600000000000e-03,-9.554000000000000e-04,5.080700000000000e-04,-3.215100000000000e-03,-2.847500000000000e-01,1.276100000000000e-01,3.244300000000000e-01,1.205800000000000e-01,-3.544300000000000e-02,2.106400000000000e-02,-1.283200000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
6.000000000000000e-02,-1.500200000000000e+00,3.500900000000000e-01,2.339600000000000e-04,8.563600000000000e-05,-1.725000000000000e+00,1.452300000000000e-05,-9.262200000000000e-05,-1.028900000000000e-02,4.516000000000000e-03,1.168900000000000e-02,4.311400000000000e-03,-1.335800000000000e-03,7.422100000000000e-04,-4.625200000000000e-03,-3.402100000000000e-01,1.556100000000000e-01,3.887400000000000e-01,1.456000000000000e-01,-4.052200000000000e-02,2.579000000000000e-02,-1.536800000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
7.000000000000001e-02,-1.500300000000000e+00,3.501400000000000e-01,3.713500000000000e-04,1.364500000000000e-04,-1.725000000000000e+00,2.331600000000000e-05,-1.469800000000000e-04,-1.396500000000000e-02,6.215200000000000e-03,1.589600000000000e-02,5.893500000000000e-03,-1.763600000000000e-03,1.024400000000000e-03,-6.288100000000000e-03,-3.950400000000000e-01,1.843600000000000e-01,4.527200000000000e-01,1.708700000000000e-01,-4.492600000000000e-02,3.067300000000000e-02,-1.788800000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
8.000000000000000e-02,-1.500500000000000e+00,3.502100000000000e-01,5.540100000000000e-04,2.043500000000000e-04,-1.725100000000000e+00,3.517700000000000e-05,-2.192200000000000e-04,-1.818700000000000e-02,8.205600000000000e-03,2.074200000000000e-02,7.729500000000000e-03,-2.232000000000000e-03,1.356200000000000e-03,-8.202100000000000e-03,-4.491800000000000e-01,2.138300000000000e-01,5.162800000000000e-01,1.963600000000000e-01,-4.865300000000000e-02,3.570700000000000e-02,-2.038900000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.000000000000000e-02,-1.500700000000000e+00,3.503100000000000e-01,7.882900000000000e-04,2.918900000000000e-04,-1.725100000000000e+00,5.060900000000000e-05,-3.118500000000000e-04,-2.294600000000000e-02,1.049400000000000e-02,2.622000000000000e-02,9.821399999999999e-03,-2.734400000000000e-03,1.739000000000000e-03,-1.036500000000000e-02,-5.025800000000000e-01,2.439900000000000e-01,5.793600000000000e-01,2.220500000000000e-01,-5.170300000000000e-02,4.088300000000000e-02,-2.286800000000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
